IPO Name,Listing Date,Allotment Price (INR),Listing Return (%),IPO Price,Listing Returns (%),1 Week Returns (%),4 Week Returns (%),6 Week Returns (%),IPO Price (INR),IPO Company
Nykaa,11/10/2021,,,,96.1,88.7,94.0,78.7,"1,125",
Fino Payments Bank,11/12/2021,,,,-5.7,-31.2,-30.6,-32.2,577,
Sigachi Industries,11/15/2021,,,,262.2,230.6,160.2,143.7,163,
SJS Enterprises,11/15/2021,,,,-5.9,-18.8,-22.5,-37.2,542,
PolicyBazaar,11/15/2021,,,,22.7,26.3,17.7,-0.3,980,
Paytm,11/18/2021,,,,-27.4,-16.3,-34.9,-38.2,"2,150",
Sapphire Foods,11/18/2021,,,,2.7,1.2,2.4,1.7,"1,180",
Latent View Analytics,11/23/2021,,,,148.1,233.2,149.0,176.7,197,
Tarsons Products,11/26/2021,,,,236,0.0,-4.1,-2.1,662,
Go Fashion,11/30/2021,,,,81.7,75.1,53.9,50.0,690,
Star Health,12/10/2021,,,,0.8,-9.0,-14.8,-9.2,900,
Tega Industries,12/13/2021,,,,60.3,25.6,31.3,15.8,453,
Anand Rathi Wealth,12/14/2021,,,,6.1,4.5,13.8,7.7,550,
RateGain Travel Technologies,12/17/2021,,,,-20.0,-12.5,12.0,-12.3,425,
Shriram Properties,12/20/2021,,,,-15.6,-32.2,-20.2,-14.6,118,
CE Infosystems,12/21/2021,,,,34.9,56.6,71.6,41.0,"1,033",
Metro Brands,12/22/2021,,,,-1.3,-9.2,21.6,19.7,500,
MedPlus Health,12/23/2021,,,,40.8,29.5,62.1,43.1,796,
Data Patterns,12/24/2021,,,,29.1,29.9,29.7,25.0,585,
HP Adhesives,12/27/2021,,,,20.7,54.0,46.5,43.8,274,
Supriya Lifescience,12/28/2021,,,,42.6,74.5,78.7,69.1,274,
CMS Infosystems,12/31/2021,,,,10.3,27.4,22.0,19.9,216,
,03/16/2020,,,,-9.8,-22.9,-33,-26.8,755,SBI Cards
,07/23/2020,,,,74.5,60.9,81,82.4,425,Rossari Biotech
,08/07/2020,,,,10.4,9.2,11.8,9.4,275,Mindspace Business Parks REIT
,09/17/2020,,,,123.5,103.2,105.2,100.1,166,Happiest Minds Technologies
,09/21/2020,,,,86.1,162.8,104.5,213.4,350,Route Mobile
,10/01/2020,,,,13.9,8.5,5.7,6.1,1230,CAMS
,10/01/2020,,,,72,49.1,17.4,22.3,340,Chemcon Speciality Chemicals
,10/05/2020,,,,-9.9,-11.9,3.2,14.2,306,Angel Broking
,10/12/2020,,,,-14,-10.4,-9.8,-5.7,554,UTI AMC
,10/12/2020,,,,18.6,16.1,23.8,25.7,145,Mazagon Dock Shipbuilders
,10/15/2020,,,,13.8,12.5,30.4,28.2,120,Likhitha Infrastructure
,11/02/2020,,,,-0.6,-1.1,5.5,13.9,33,Equitas Small Finance Bank
,11/20/2020,,,,21.3,40.9,48.4,58,"1,500",Gland Pharma
,12/14/2020,,,,125,163.8,150.3,125.3,60,Burger King
,12/24/2020,,,,105.7,78.5,42.3,45.8,288,Mrs Bectors Food Specialities
,12/31/2019,,,,-6.2,-13.7,0.1,-0.6,178,Prince Pipes
,12/12/2019,,,,51.2,59.7,43.6,44.9,37,Ujjivan Bank
,12/04/2019,,,,53.9,23.4,6.1,0.3,195,CSB Bank
,10/15/2019,,,,0.6,0.8,14.5,14.9,60,Vishwaraj Sugar
,10/14/2019,,,,134.8,172.5,200.9,184.6,310,IRCTC Limited*
,08/20/2019,,,,-6.9,-18,-21.8,-22.5,780,Sterling & Wilson Solar
,08/19/2019,,,,-1,-3.6,-0.3,9.1,856,Spandana Sphoorty Financial
,08/08/2019,,,,17.3,8.2,11.2,26.2,745,Affle India
,07/04/2019,,,,33.8,36.2,25.1,18.2,973,IndiaMART InterMESH
,05/08/2019,,,,22.6,17.8,45.7,75.7,215,Neogen Chemicals
,04/16/2019,,,,21.7,17.9,17.8,16.3,538,Polycab India
,04/15/2019,,,,9.1,7.4,4.7,10.5,179,Metropolis Healthcare
,04/11/2019,,,,3,41.4,23.2,28.4,18.5,Rail Vikas Nigam*
,04/01/2019,,,,4.9,7.1,6.8,10.6,300,Embassy Office Parks REIT
,03/29/2019,,,,-0.5,-7.6,-7.6,-12.7,114.5,MSTC*
,02/07/2019,,,,4.2,2.3,1.1,14.7,280,Chalet Hotels
,02/04/2019,,,,-5,21,17,13,63,Xelpmoc Design and Tech*
Garden Reach Shipbuilders,10/10/2018,118,(12.46),,,,,,,
Aavas Financiers,10/8/2018,821,(5.68),,,,,,,
IRCON International,9/28/2018,475,(12.57),,,,,,,
Creditaccess Grameen,8/23/2018,422,0.01,,,,,,,
HDFC AMC,8/6/2018,"1,100",65.09,,,,,,,
TCNS Clothing,7/30/2018,716,(7.94),,,,,,,
Varroc Engineering,7/6/2018,967,7.28,,,,,,,
Fine Organics,7/2/2018,783,5.08,,,,,,,
RITES Limited,7/2/2018,185,(7.76),,,,,,,
Indostar Capital Finance,5/21/2018,572,2.47,,,,,,,
Lemon Tree Hotels,4/9/2018,56,27.95,,,,,,,
ICICI Securities,4/4/2018,520,(14.40),,,,,,,
Mishra Dhatu Nigam,4/4/2018,90,0.06,,,,,,,
Sandhar Technologies,4/2/2018,332,(2.97),,,,,,,
Karda Constructions,4/2/2018,180,(20.67),,,,,,,
Hindustan Aeronautics,3/28/2018,"1,240",(8.64),,,,,,,
Bandhan Bank,3/27/2018,375,27.16,,,,,,,
Bharat Dynamics,3/23/2018,428,(8.93),,,,,,,
